"Credit liabilities of households (x 1,000,000)"
"Frequency: Monthly"
"Table: 36-10-0639-01"
"Release date: 2026-08-19"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonality","Seasonally adjusted data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Credit liabilities of households 1","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026","February 2026","March 2026","April 2026","May 2026","June 2026"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-banks 9 10","425,355","426,083","426,599","426,740","426,535","426,906","428,206","429,306","431,098","431,799","432,606","433,366","434,401","435,107","435,951","439,955","442,628","446,793","448,631","450,723","451,996","455,816","459,992","463,809","468,064","471,817","475,223","479,385","483,394","487,969","490,506","492,922","494,680","496,367","497,600","498,720","500,966","503,109","504,672","507,706","510,247","513,304","516,663","519,880","522,957","526,344","529,209","531,889","533,885","535,945","537,761","539,886","542,120","544,639","547,331","550,484","553,484","557,069","560,995","564,734","550,472","554,401","557,541","562,479","567,064","570,942","574,406","577,742","580,831","583,715","586,636","584,355","586,755","588,834","591,218","593,725","596,252","598,896"
"Government 9 10","450","452","454","453","451","449","447","447","446","445","443","440","439","437","438","435","432","430","428","425","421","418","416","413","410","407","404","404","405","406","403","399","395","393","392","390","387","385","383","386","388","392","397","403","407","410","414","417","418","421","423","424","426","428","430","433","435","437","439","440","441","437","432","432","432","433","433","435","436","437","436","437","438","439","439","439","440","441"
"Non-bank financial corporations 9 10 11","419,287","419,816","420,118","420,207","419,950","420,270","421,594","422,716","424,530","425,200","425,978","426,709","427,631","428,236","428,965","432,858","435,417","439,470","441,297","443,378","444,642","448,389","452,492","456,236","460,254","463,792","466,961","471,094","475,071","479,616","482,109","484,483","486,200","487,658","488,667","489,558","491,817","493,970","495,545","498,358","500,671","503,506","506,578","509,507","512,307","515,425","518,030","520,441","522,273","524,178","525,829","527,805","529,885","532,254","534,936","538,078","541,068","544,670","548,612","552,369","538,069","541,968","545,076","550,012","554,595","558,470","562,089","565,578","568,816","571,624","574,472","572,115","574,538","576,639","579,047","581,581","584,135","586,805"
"Credit unions and caisse populaires 9 10","220,785","221,758","222,876","223,443","224,103","225,081","225,772","226,518","227,349","228,059","229,052","230,057","231,469","232,819","234,608","237,214","239,170","242,077","243,543","245,126","246,629","248,173","249,987","251,460","253,239","254,898","256,579","258,383","260,827","263,762","265,613","267,263","268,711","270,050","270,940","272,044","272,764","273,482","274,392","275,276","275,991","277,174","278,738","280,015","281,309","282,419","282,976","283,579","284,381","285,357","286,249","287,487","288,795","290,390","291,618","293,189","294,892","296,768","299,030","301,219","303,412","305,782","307,688","309,894","312,036","313,474","315,212","316,905","318,652","320,801","322,746","325,529","327,246","328,414","330,409","332,459","334,815","337,410"
"Trust companies and mortgage loan companies 9 10","20,844","20,903","20,835","20,980","21,072","21,055","21,624","21,797","21,876","22,028","22,065","22,083","22,280","22,156","22,226","22,496","22,485","22,842","23,346","23,814","23,894","24,289","24,877","25,442","25,971","26,315","26,601","27,483","28,016","28,485","28,637","28,773","28,646","28,865","29,112","29,116","29,290","29,423","29,081","29,198","29,380","29,536","29,722","30,003","30,232","30,382","30,633","30,687","30,871","30,981","30,974","30,970","30,889","30,922","30,934","31,047","31,014","31,300","31,557","31,754","13,531","13,644","13,787","13,898","14,092","14,266","14,455","14,561","14,674","15,185","15,749","10,446","10,349","10,347","10,173","10,357","10,607","10,684"
"Financial vehicle corporations engaged in securitization 6 9 10","15,491","15,574","15,696","15,466","15,122","14,925","14,769","14,598","15,219","15,134","15,062","15,007","15,201","15,377","15,484","15,178","14,789","14,442","14,168","13,919","13,463","13,416","13,422","13,442","13,296","13,158","12,882","13,760","14,565","15,415","15,631","15,872","16,034","16,290","16,570","16,881","17,319","17,764","18,143","18,249","18,280","18,357","18,609","18,892","19,146","19,195","19,249","19,320","19,303","19,305","19,295","19,361","19,419","19,436","19,520","19,629","19,639","20,335","21,034","21,744","22,416","23,125","23,809","24,675","25,526","26,383","26,849","27,355","27,607","27,229","27,079","26,735","26,609","26,619","26,553","26,465","26,344","26,283"
"Of which: off balance-sheet NHA-MBS 9 10 12","7,904","8,201","8,575","8,252","7,879","7,574","6,916","6,972","7,055","6,908","6,747","6,572","7,114","7,646","8,227","7,535","6,820","6,114","5,983","5,842","5,682","5,495","5,320","5,126","5,126","5,124","5,128","5,141","5,165","5,187","5,297","5,398","5,490","5,288","5,089","4,881","4,673","4,465","4,264","4,272","4,284","4,303","4,324","4,348","4,359","4,375","4,392","4,402","4,334","4,274","4,215","4,158","4,111","4,065","4,103","4,139","4,171","4,194","4,218","4,232","4,287","4,299","4,309","4,381","4,458","4,538","4,859","5,184","5,503","5,467","5,420","5,378","5,386","5,396","5,398","5,415","5,435","5,465"
"Other financial corporations n.e.i. 7 9 10","162,167","161,581","160,711","160,318","159,653","159,209","159,429","159,803","160,086","159,979","159,799","159,562","158,681","157,884","156,647","157,970","158,973","160,109","160,240","160,519","160,656","162,511","164,206","165,892","167,748","169,421","170,899","171,468","171,663","171,954","172,228","172,575","172,809","172,453","172,045","171,517","172,444","173,301","173,929","175,635","177,020","178,439","179,509","180,597","181,620","183,429","185,172","186,855","187,718","188,535","189,311","189,987","190,782","191,506","192,864","194,213","195,523","196,267","196,991","197,652","198,710","199,417","199,792","201,545","202,941","204,347","205,573","206,757","207,883","208,409","208,898","209,405","210,334","211,259","211,912","212,300","212,369","212,428"
"Other lenders n.e.i. 8 9 10","5,618","5,815","6,027","6,080","6,134","6,187","6,165","6,143","6,122","6,154","6,185","6,217","6,331","6,434","6,548","6,662","6,779","6,893","6,906","6,920","6,933","7,009","7,084","7,160","7,400","7,618","7,858","7,887","7,918","7,947","7,994","8,040","8,085","8,316","8,541","8,772","8,762","8,754","8,744","8,962","9,188","9,406","9,688","9,970","10,243","10,509","10,765","11,031","11,194","11,346","11,509","11,657","11,809","11,957","11,965","11,973","11,981","11,962","11,944","11,925","11,962","11,996","12,033","12,035","12,037","12,039","11,884","11,729","11,579","11,654","11,728","11,803","11,779","11,756","11,732","11,705","11,677","11,650"
"Non-residential mortgages 9","11,708","11,559","11,542","11,447","11,417","11,377","11,513","11,474","11,466","11,519","11,537","11,592","11,606","11,634","11,650","11,733","11,808","11,969","11,931","11,956","12,022","11,978","11,994","11,941","11,944","11,940","11,917","11,921","11,935","11,913","11,903","11,874","11,832","11,776","11,728","11,638","11,580","11,490","11,472","11,480","11,433","11,341","11,308","11,241","11,191","11,115","11,045","10,963","10,866","10,777","10,690","10,590","10,514","10,471","10,408","10,341","10,279","10,194","10,093","9,995","9,945","9,848","9,726","9,625","9,506","9,379","9,298","9,221","9,148","8,988","8,868","8,716","8,657","8,650","8,582","8,512","8,417","8,292"
