"Credit liabilities of private non-financial corporations (x 1,000,000)"
"Frequency: Monthly"
"Table: 36-10-0640-01"
"Release date: 2026-08-19"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonality","Seasonally adjusted data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Credit liabilities of private non-financial corporations 1","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026","February 2026","March 2026","April 2026","May 2026","June 2026"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other financial corporations n.e.i. 7 9 10","7,057","7,058","7,060","7,092","7,127","7,161","7,216","7,269","7,330","7,366","7,414","7,455","7,432","7,408","7,382","7,425","7,472","7,517","7,563","7,609","7,659","7,732","7,812","7,889","7,987","8,071","8,168","8,187","8,210","8,232","8,241","8,248","8,264","8,269","8,285","8,295","8,348","8,395","8,444","8,508","8,577","8,641","8,682","8,720","8,770","8,866","8,974","9,077","9,155","9,223","9,294","9,348","9,406","9,455","9,509","9,557","9,626","9,689","9,772","9,847","9,902","9,945","9,988","10,052","10,115","10,172","10,317","10,455","10,611","10,543","10,497","10,433","10,511","10,572","10,637","10,674","10,712","10,743"
"Other lenders n.e.i. 8 9 10","254","261","270","275","281","288","289","291","293","296","300","303","307","310","315","320","326","335","338","342","346","349","351","353","364","373","383","385","388","392","395","401","403","416","427","438","437","437","435","447","458","470","484","500","513","528","540","553","563","573","582","592","600","610","610","611","611","612","613","613","614","617","619","619","618","617","615","613","611","609","609","607","606","605","604","604","603","603"
"Non-residential 9","208,710","211,204","214,021","214,864","215,650","215,990","217,674","219,140","220,563","222,015","223,410","224,823","225,735","226,753","227,898","229,249","230,590","232,576","234,572","236,242","237,947","239,347","240,920","242,836","244,345","246,017","247,406","249,213","250,676","252,021","252,913","253,691","254,664","255,068","255,534","255,985","256,631","257,069","257,342","259,320","260,615","262,634","263,708","264,568","265,273","267,081","269,039","270,971","272,434","273,906","275,336","277,559","280,345","281,863","284,279","286,506","289,008","290,357","291,952","293,275","294,532","296,034","297,070","298,311","299,228","299,867","300,717","301,224","302,139","303,185","304,639","306,634","308,271","310,089","311,374","312,856","312,905","313,386"
"Chartered banks 9 13","60,045","60,169","60,567","61,065","61,451","61,624","62,250","62,714","63,261","63,425","63,707","64,013","64,159","64,616","65,198","65,501","65,728","66,251","67,024","67,327","67,676","67,844","68,054","68,705","68,990","69,529","69,665","70,221","70,500","70,826","70,864","70,952","71,028","70,909","70,887","70,894","71,289","71,417","71,421","71,976","71,976","72,437","72,646","72,610","72,601","72,775","72,944","73,230","73,557","73,662","74,201","74,946","76,129","76,510","77,161","77,693","78,652","79,027","79,787","79,876","81,904","82,321","82,318","82,867","83,242","83,408","83,991","84,269","84,653","84,727","85,376","86,523","86,982","87,688","88,001","88,473","89,281","89,351"
"Non-banks 9 13","148,665","151,035","153,454","153,799","154,199","154,366","155,424","156,426","157,302","158,590","159,703","160,810","161,576","162,137","162,700","163,748","164,862","166,325","167,548","168,915","170,271","171,503","172,866","174,131","175,355","176,488","177,741","178,992","180,176","181,195","182,049","182,739","183,636","184,159","184,647","185,091","185,342","185,652","185,921","187,344","188,639","190,197","191,062","191,958","192,672","194,306","196,095","197,741","198,877","200,244","201,135","202,613","204,216","205,353","207,118","208,813","210,356","211,330","212,165","213,399","212,628","213,713","214,752","215,444","215,986","216,459","216,726","216,955","217,486","218,458","219,263","220,111","221,289","222,401","223,373","224,383","223,624","224,035"
"Government 9 13","3,912","3,900","3,887","3,964","4,045","4,122","4,265","4,407","4,545","4,640","4,732","4,827","4,884","4,935","4,992","5,129","5,270","5,407","5,490","5,573","5,654","5,807","5,954","6,107","6,177","6,240","6,310","6,315","6,320","6,325","6,267","6,208","6,152","6,167","6,181","6,196","6,209","6,222","6,235","6,287","6,341","6,393","6,363","6,333","6,304","6,365","6,424","6,485","6,493","6,501","6,509","6,510","6,510","6,511","6,545","6,580","6,613","6,642","6,669","6,698","6,663","6,631","6,596","6,620","6,646","6,670","6,687","6,704","6,721","6,769","6,816","6,864","6,869","6,874","6,879","6,888","6,897","6,907"
"Non-bank financial corporations 6 9 13","135,461","137,632","139,840","140,021","140,251","140,254","141,122","141,935","142,627","143,743","144,689","145,624","146,213","146,615","147,001","147,794","148,645","149,853","150,926","152,144","153,354","154,332","155,450","156,461","157,470","158,409","159,447","160,662","161,810","162,793","163,665","164,374","165,289","165,655","165,992","166,279","166,496","166,775","167,010","168,236","169,328","170,689","171,405","172,152","172,722","174,121","175,684","177,095","178,105","179,353","180,118","181,487","182,977","184,005","185,705","187,335","188,815","189,741","190,532","191,718","190,843","191,835","192,770","193,407","193,892","194,310","194,615","194,881","195,448","196,300","196,989","197,717","198,873","199,965","200,915","201,897","201,110","201,493"
"Credit unions and caisse populaires 9 13","42,531","43,020","43,394","43,562","43,685","43,580","43,849","44,091","44,212","44,677","44,958","45,341","45,719","45,992","46,216","46,335","46,430","46,898","47,183","47,640","48,095","48,288","48,628","48,935","49,199","49,485","49,840","50,388","50,852","51,159","51,581","51,870","52,364","52,716","53,022","53,324","53,688","54,046","54,497","55,011","55,448","56,160","56,351","56,601","56,686","57,030","57,557","57,895","58,445","59,124","59,492","59,836","60,433","60,582","61,378","62,129","62,762","63,226","63,537","64,202","64,562","64,706","65,021","65,396","65,817","66,181","66,458","66,671","67,125","67,678","68,006","68,326","68,729","69,054","69,411","70,022","69,061","69,291"
"Trust companies and mortgage loan companies 9 13","2,238","2,266","2,297","2,276","2,255","2,234","2,209","2,184","2,160","2,151","2,143","2,134","2,120","2,108","2,094","2,065","2,034","2,005","1,989","1,973","1,958","1,946","1,935","1,923","1,943","1,960","1,980","2,022","2,066","2,108","2,087","2,066","2,045","2,094","2,140","2,189","2,197","2,204","2,212","2,249","2,286","2,323","2,333","2,343","2,353","2,376","2,399","2,422","2,394","2,367","2,339","2,406","2,476","2,543","2,540","2,536","2,533","2,503","2,475","2,445","494","586","616","615","613","612","612","612","612","607","603","598","608","617","627","620","614","607"
"Financial vehicle corporations engaged in securitization 9 11 13","2,670","2,670","2,670","2,645","2,619","2,594","2,579","2,564","2,549","2,460","2,375","2,286","2,290","2,295","2,299","2,291","2,282","2,274","2,267","2,260","2,253","2,243","2,234","2,224","2,211","2,199","2,186","2,182","2,177","2,173","2,164","2,155","2,146","2,148","2,149","2,151","2,165","2,177","2,191","2,211","2,233","2,253","2,260","2,268","2,275","2,283","2,291","2,299","2,238","2,181","2,120","2,114","2,108","2,102","2,104","2,107","2,109","2,101","2,093","2,085","2,092","2,097","2,104","2,111","2,119","2,126","2,123","2,120","2,117","2,118","2,120","2,121","2,122","2,122","2,123","2,123","2,123","2,122"
