date,type,time_et,mpr,decision_bps,source_url,release_year,notes
2021-09-08,scheduled,10:00,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2020,
2021-10-27,scheduled,10:00,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2020,
2021-12-08,scheduled,10:00,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2020,
2022-01-26,scheduled,10:00,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2021,
2022-03-02,scheduled,10:00,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2021,
2022-04-13,scheduled,10:00,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2021,
2022-06-01,scheduled,10:00,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2021,
2022-07-13,scheduled,10:00,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2021,
2022-09-07,scheduled,10:00,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2021,
2022-10-26,scheduled,10:00,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2021,
2022-12-07,scheduled,10:00,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2021,
2023-01-25,scheduled,10:00,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2022,
2023-03-08,scheduled,10:00,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2022,
2023-04-12,scheduled,10:00,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2022,
2023-06-07,scheduled,10:00,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2022,
2023-07-12,scheduled,10:00,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2022,
2023-09-06,scheduled,10:00,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2022,
2023-10-25,scheduled,10:00,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2022,
2023-12-06,scheduled,10:00,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2022,
2024-01-24,scheduled,09:45,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2023,9:45 ET effective 2024-01-24; presser 10:30 ET all dates from 2024
2024-03-06,scheduled,09:45,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2023,9:45 ET effective 2024-01-24; presser 10:30 ET all dates from 2024
2024-04-10,scheduled,09:45,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2023,9:45 ET effective 2024-01-24; presser 10:30 ET all dates from 2024
2024-06-05,scheduled,09:45,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2023,9:45 ET effective 2024-01-24; presser 10:30 ET all dates from 2024
2024-07-24,scheduled,09:45,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2023,9:45 ET effective 2024-01-24; presser 10:30 ET all dates from 2024
2024-09-04,scheduled,09:45,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2023,9:45 ET effective 2024-01-24; presser 10:30 ET all dates from 2024
2024-10-23,scheduled,09:45,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2023,9:45 ET effective 2024-01-24; presser 10:30 ET all dates from 2024
2024-12-11,scheduled,09:45,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2023,9:45 ET effective 2024-01-24; presser 10:30 ET all dates from 2024
2025-01-29,scheduled,09:45,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2024,
2025-03-12,scheduled,09:45,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2024,
2025-04-16,scheduled,09:45,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2024,
2025-06-04,scheduled,09:45,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2024,
2025-07-30,scheduled,09:45,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2024,
2025-09-17,scheduled,09:45,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2024,
2025-10-29,scheduled,09:45,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2024,
2025-12-10,scheduled,09:45,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2024,
2026-01-28,scheduled,09:45,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2025,
2026-03-18,scheduled,09:45,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2025,
2026-04-29,scheduled,09:45,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2025,
2026-06-10,scheduled,09:45,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2025,
2026-07-15,scheduled,09:45,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2025,
2026-09-02,scheduled,09:45,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2025,
2026-10-28,scheduled,09:45,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2025,
2026-12-09,scheduled,09:45,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2025,
