Date,Symbol,Class Symbol,Root Symbol,Underlying Symbol,Strike Price,Expiry Date,Call/Put,Ins. Type,Bid Price,Ask Price,Bid Size,Ask Size,Last Price,Volume,Last Close Price,Net Change,Open Price,High Price,Low Price,Total Value,Nb. Trades,Settlement Price,Open Interest,Implied Volatility,Accrued Financing Value,Accrued Financing Date,CORRA Rate,symbol,source_file
2021-02-05,CRAH21,CRA,CRA,CRA,0,2021-06-16,0,1,99.79,99.805,200,200,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.795,5547,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-05,CRAM21,CRA,CRA,CRA,0,2021-09-15,0,1,99.775,99.79,200,200,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.785,593,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-05,CRAU21,CRA,CRA,CRA,0,2021-12-15,0,1,99.775,99.79,200,200,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.78,260,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-05,CRAZ21,CRA,CRA,CRA,0,2022-03-16,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.78,150,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-05,CRAH22,CRA,CRA,CRA,0,2022-06-15,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.765,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-05,CRAM22,CRA,CRA,CRA,0,2022-09-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.73,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-05,CRAU22,CRA,CRA,CRA,0,2022-12-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.71,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-05,CRAZ22,CRA,CRA,CRA,0,2023-03-15,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.69,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-05,CRAH23,CRA,CRA,CRA,0,2023-06-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.66,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-05,CRAM23,CRA,CRA,CRA,0,2023-09-20,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.63,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-05,CRAU23,CRA,CRA,CRA,0,2023-12-20,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.6,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-08,CRAZ20,CRA,CRA,CRA,0,2021-03-17,0,1,99.8,99.815,100,100,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.815,2304,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-08,CRAH21,CRA,CRA,CRA,0,2021-06-16,0,1,99.785,99.8,100,225,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.795,5547,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-08,CRAM21,CRA,CRA,CRA,0,2021-09-15,0,1,99.77,99.785,100,125,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.785,593,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-08,CRAU21,CRA,CRA,CRA,0,2021-12-15,0,1,99.765,99.78,100,225,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.78,260,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-08,CRAZ21,CRA,CRA,CRA,0,2022-03-16,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.78,150,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-08,CRAH22,CRA,CRA,CRA,0,2022-06-15,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.765,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-08,CRAM22,CRA,CRA,CRA,0,2022-09-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.73,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-08,CRAU22,CRA,CRA,CRA,0,2022-12-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.71,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-08,CRAZ22,CRA,CRA,CRA,0,2023-03-15,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.69,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-08,CRAH23,CRA,CRA,CRA,0,2023-06-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.66,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-08,CRAM23,CRA,CRA,CRA,0,2023-09-20,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.63,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-08,CRAU23,CRA,CRA,CRA,0,2023-12-20,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.6,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-09,CRAZ20,CRA,CRA,CRA,0,2021-03-17,0,1,99.8,99.815,100,100,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.815,2304,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-09,CRAH21,CRA,CRA,CRA,0,2021-06-16,0,1,99.775,99.79,100,120,0.0,5,0.0,-0.005,99.79,99.79,99.79,0,1,99.795,5547,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-09,CRAM21,CRA,CRA,CRA,0,2021-09-15,0,1,99.77,99.78,100,25,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.78,593,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-09,CRAU21,CRA,CRA,CRA,0,2021-12-15,0,1,99.77,99.78,100,204,0.0,1,0.0,0.0,99.78,99.78,99.78,0,1,99.775,260,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-09,CRAZ21,CRA,CRA,CRA,0,2022-03-16,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.775,150,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-09,CRAH22,CRA,CRA,CRA,0,2022-06-15,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.76,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-09,CRAM22,CRA,CRA,CRA,0,2022-09-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.725,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-09,CRAU22,CRA,CRA,CRA,0,2022-12-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.705,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-09,CRAZ22,CRA,CRA,CRA,0,2023-03-15,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.685,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
